,2247772,,
0,64.99,96,0
0.065856,63.45,96,0
0.125396,59.41,96,0
0.187476,53.06,96,0
0.251396,45.25,96,0
0.31218,37.87,96,0
0.374548,31.22,96,0
0.439624,26.6,96,0
0.500344,25,96,0
0.56426,26.4,96,0
0.628292,30.86,96,0
0.68988,37.17,96,0
0.74978,44.5,96,0
0.81574,52.6,96,0
0.876568,58.96,96,0
0.937632,63.3,96,0
1.000316,65,96,0
1.064668,63.55,96,0
1.12824,59.14,96,0
1.188252,52.94,96,0
1.251384,45.38,96,0
1.3173,37.17,96,0
1.3769,31.04,96,0
1.44074,26.55,96,0
1.50062,25,96,0
1.56326,26.4,96,0
1.628324,30.77,96,-3
1.692412,37.52,96,-2.19
1.752264,44.75,96,-1.55
1.814212,52.48,95.85,-1.17
1.878324,59.05,95.7,-1.07
1.942692,63.55,95.25,-1.18
2.002788,65,94.65,-1.46
2.0647,63.55,93.45,-2.17
2.1283,59.14,91.2,-2.51
2.192156,52.48,87.6,-2.73
2.252008,45.25,82.65,-2.77
2.313784,37.64,75.9,-2.42
2.375948,31.13,67.65,-1.82
2.442568,26.5,57,-0.63
2.563784,26.4,35.7,1.75
2.628644,30.86,25.05,2.99
2.691396,37.29,16.35,3
2.751876,44.87,10.2,3
2.816624,52.71,6.75,3
2.8775,59.05,6.75,3
2.942536,63.55,9.9,2.97
3.003384,65,15.75,1.7
3.067336,63.4,24.75,0.1
3.12954,59.05,35.85,-1.69
3.190504,52.71,47.85,-3
3.252236,45.25,60.15,-3
3.316892,37.29,72.15,-3
3.377408,31.04,82.05,-3
3.441832,26.5,90.15,-3
3.50246,25,94.95,-3
3.568084,26.64,96.3,-3
3.63008,30.95,95.4,-2.83
3.692848,37.52,93.6,-1.73
3.752824,44.87,90.9,-0.92
3.817092,52.83,87.3,-0.07
3.880196,59.23,83.55,0.26
3.940804,63.5,79.95,0.21
4.002452,65,76.95,-0.27
4.069,63.31,74.55,-0.96
4.126916,59.32,72.9,-1.66
4.193684,52.36,71.1,-2.2
4.254304,45,69.15,-2.69
4.3145,37.52,66.45,-2.76
4.379104,30.77,62.55,-2.48
4.440616,26.55,57.75,-1.8
4.50548,25,51.75,-0.71
4.567228,26.55,45.15,0.37
4.628616,30.86,38.55,1.49
4.693768,37.64,32.4,2.49
4.754036,45.12,28.2,2.9
4.8163,52.71,26.1,3
4.877712,59.05,26.55,2.67
4.939636,63.4,29.4,1.75
5.003028,65,34.95,0.56
5.068236,63.36,43.35,-1.03
5.128044,59.23,52.35,-2.42
5.194744,52.25,63,-3
5.255976,44.75,72.15,-3
5.319032,36.94,80.4,-3
5.378036,30.95,86.4,-3
5.443208,26.4,90.45,-3
5.50584,25,91.5,-3
5.566364,26.55,90.6,-3
5.629308,30.95,88.8,-2.26
5.694324,37.75,85.8,-1.09
5.75378,45,82.2,-0.3
5.818072,52.94,77.7,0.44
5.879776,59.23,73.5,0.7
5.94118,63.45,70.05,0.63
6.00352,65,68.1,0.01
6.067476,63.45,67.5,-0.99
6.130988,58.96,67.8,-1.91
6.192916,52.48,68.1,-2.5
6.255572,44.75,67.8,-3
6.319932,36.94,66.75,-3
6.3808,30.68,64.95,-3
6.44194,26.5,62.1,-2.44
6.504836,25,58.2,-1.6
6.569616,26.69,53.4,-0.51
6.629476,30.95,48.3,0.54
6.69524,37.75,43.05,1.55
6.755708,45.38,39.15,2.05
6.817992,52.83,37.05,2.38
6.881508,59.32,37.05,2.05
6.94192,63.5,39.45,1.19
7.006032,65,44.25,0.07
7.068804,63.36,50.85,-1.46
7.131748,58.87,58.8,-2.63
7.1907,52.71,66.3,-3
7.256276,44.75,73.95,-3
7.316468,37.29,79.5,-3
7.379188,30.86,83.4,-3
7.506804,25,84.15,-3
7.566184,26.5,82.2,-2.69
7.629832,30.95,78.75,-1.47
7.692532,37.4,74.25,-0.36
7.754508,45.12,69,0.58
7.81956,52.94,63.75,1.22
7.881136,59.41,59.85,1.36
7.942108,63.5,57.75,0.86
8.0036,65,57.75,0.11
8.067064,63.45,59.4,-0.92
8.129376,59.05,62.1,-2.14
8.194124,52.36,65.1,-2.97
8.255992,44.62,67.5,-3
8.320836,36.83,68.7,-3
8.378724,30.77,68.55,-3
8.44264,26.45,67.35,-3
8.505244,25,64.95,-2.45
8.569008,26.64,61.5,-1.34
8.632136,31.13,57.3,-0.22
8.69434,37.64,52.65,0.94
8.755964,45.25,48.45,1.46
8.820612,53.17,45.6,1.79
8.879768,59.23,44.7,1.62
8.94452,63.64,46.05,1.01
9.007292,65,49.35,-0.09
9.071208,63.2,54.6,-1.47
9.129884,59.05,60.15,-2.47
9.195144,52.13,66.45,-3
9.258168,44.5,71.85,-3
9.32024,36.83,75.75,-3
9.3798,30.77,77.85,-3
9.443732,26.36,78.15,-3
9.50538,25,76.95,-3
9.570808,26.75,74.4,-2.28
9.629188,30.95,70.8,-1.06
9.69608,37.87,65.85,0
9.754952,45.12,61.05,0.95
9.817648,52.83,56.55,1.42
9.881264,59.41,53.4,1.42
9.943104,63.55,52.35,1.01
10.006944,64.99,53.55,-0.02
10.06752,63.41,56.1,-1.12
10.132264,58.78,60,-2.42
10.194904,52.25,63.9,-3
10.255052,44.75,67.2,-3
10.319596,36.94,69.45,-3
10.381504,30.68,70.2,-3
10.44184,26.5,69.6,-3
10.506112,25,67.65,-2.71
10.569792,26.69,64.8,-1.64
10.643224,32.25,60,-0.35
10.707728,39.3,55.2,0.72
10.756784,45.38,51.75,1.31
10.820236,53.17,48.15,1.87
10.88002,59.23,46.5,1.53
10.94372,63.6,46.95,1.03
11.007728,64.99,49.5,-0.01
11.070096,63.25,53.7,-1.4
11.13322,58.78,58.95,-2.52
11.196052,52.13,64.35,-3
11.25634,44.62,68.85,-3
11.320188,36.94,72.45,-3
11.38322,30.42,74.4,-3
11.446104,26.31,74.55,-3
11.524116,25.16,72.45,-2.93
11.583664,27.47,69.45,-1.78
11.647516,32.64,65.25,-0.59
11.708092,39.42,60.3,0.48
11.774332,47.63,55.05,1.4
11.83528,54.85,51.3,1.58
11.89616,60.57,49.05,1.44
11.95862,64.21,48.9,0.79
12.025236,64.83,51.15,-0.47
12.084988,62.47,54.6,-1.45
12.146248,57.46,58.95,-2.62
12.212168,50.22,63.75,-3
12.271532,42.74,67.2,-3
12.336232,35.15,69.75,-3
12.400136,29.05,70.65,-3
12.459956,25.76,69.75,-3
12.521908,25.14,67.65,-2.67
12.586088,27.6,64.2,-1.42
12.650116,32.94,59.55,-0.1
12.711524,39.78,54.45,0.93
12.773716,47.63,49.65,1.56
12.8363,54.85,46.05,1.87
12.900688,61.03,44.25,1.47
12.960544,64.27,44.55,0.83
13.02442,64.84,47.1,-0.16
13.085036,62.4,51.15,-1.39
13.149512,57.26,56.4,-2.76
13.209548,50.46,61.5,-3
13.272592,42.62,66.15,-3
13.335628,35.15,69.45,-3
13.397444,29.35,71.4,-3
13.461256,25.69,71.55,-3
13.521896,25.13,70.2,-2.93
13.585864,27.66,67.5,-1.85
13.64788,32.64,63.9,-0.71
13.711872,39.9,59.25,0.39
13.773412,47.38,54.6,1.23
13.835712,54.85,50.85,1.38
13.898856,60.8,48.75,1.43
13.960828,64.24,48.6,0.6
14.022488,64.86,50.4,-0.34
14.087176,62.34,53.7,-1.42
14.149712,57.16,57.75,-2.69
14.210152,50.46,61.65,-3
14.273096,42.5,65.1,-3
14.33522,35.26,67.05,-3
14.400868,28.97,67.65,-3
14.46248,25.69,66.6,-3
14.525176,25.19,64.5,-2.49
14.588012,27.72,61.05,-1.42
14.647956,32.64,56.85,-0.25
14.71202,39.78,51.9,1.01
14.776056,47.75,47.4,1.49
14.838616,55.18,44.25,1.83
14.899544,60.88,42.9,1.39
14.96116,64.31,43.8,0.67
15.026152,64.81,46.65,-0.36
15.088632,62.22,51.15,-1.69
15.151024,57.06,56.4,-2.7
15.213312,49.98,61.5,-3
15.27378,42.5,65.85,-3
15.336904,34.93,69.3,-3
15.399172,29.2,70.95,-3
15.462984,25.66,71.1,-3
15.525108,25.17,69.6,-3
15.588676,27.78,67.05,-1.84
15.64844,32.74,63.45,-0.64
15.711172,39.66,58.95,0.31
15.7747,47.63,54.3,1.06
15.835704,54.85,50.55,1.5
15.899044,60.88,48.15,1.38
15.961516,64.31,47.85,0.6
16.024556,64.83,49.5,-0.38
16.087064,62.34,52.65,-1.47
16.149188,57.16,56.4,-2.54
16.213252,50.1,60.45,-3
16.275776,42.25,63.6,-3
16.337936,34.93,65.55,-3
16.398768,29.28,66,-3
16.462664,25.66,65.1,-3
16.526176,25.19,63,-2.52
16.588656,27.78,59.7,-1.5
16.648432,32.64,55.65,-0.27
16.713368,40.02,50.85,0.95
16.776948,47.88,46.65,1.49
16.836884,54.96,43.8,1.72
16.901736,61.03,42.6,1.32
16.963772,64.37,43.65,0.6
17.026632,64.79,46.5,-0.48
17.086892,62.28,50.7,-1.66
17.14866,57.26,55.8,-2.74
17.211876,50.22,60.75,-3
17.275404,42.25,65.1,-3
17.335888,35.15,68.1,-3
17.399932,29.12,69.6,-3
17.461996,25.69,69.45,-3
17.524572,25.17,67.8,-2.87
17.5883,27.72,64.95,-1.84
17.65084,32.94,61.05,-0.61
17.711332,39.66,56.55,0.44
17.775864,47.75,51.6,1.27
17.83766,55.07,47.85,1.54
17.900892,60.95,45.6,1.4
17.962156,64.31,45.6,0.61
18.025212,64.81,47.55,-0.34
18.090404,62.09,51.15,-1.59
18.149428,57.16,55.2,-2.55
18.21304,50.1,59.4,-3
18.277396,42,63,-3
18.339952,34.71,65.25,-3
18.401412,29.05,66,-3
18.465328,25.57,65.25,-3
18.524444,25.16,63.45,-2.64
18.58724,27.72,60.6,-1.59
18.650208,32.84,56.55,-0.35
18.712204,39.9,51.9,0.64
18.775892,47.75,47.4,1.38
18.838904,55.29,44.1,1.64
18.899828,60.88,42.6,1.44
18.963536,64.37,43.2,0.61
19.027624,64.77,45.9,-0.48
19.08964,62.15,50.1,-1.73
19.149608,57.16,54.75,-2.7
19.213748,49.98,59.7,-3
19.27682,42.12,63.75,-3
19.33728,35.04,66.6,-3
19.40434,28.75,67.95,-3
19.463264,25.66,67.65,-3
19.527632,25.23,66,-2.77
19.590092,27.85,63.45,-1.81
19.651168,32.94,59.85,-0.64
19.712512,39.9,55.35,0.51
19.775652,47.75,50.85,1.19
19.839284,55.18,47.1,1.48
19.901116,61.03,45,1.38
19.963968,64.37,45,0.59
20.02574,64.79,46.95,-0.45
20.089136,62.22,50.55,-1.57
20.153124,56.76,54.9,-2.83
20.214068,49.98,58.95,-3
20.278476,42,62.55,-3
20.341004,34.61,64.65,-3
20.400168,29.12,65.4,-3
20.4663,25.54,64.65,-3
20.528532,25.25,62.7,-2.66
20.59098,27.98,59.7,-1.51
20.653888,33.24,55.65,-0.29
20.716672,40.39,50.85,0.85
20.776672,47.88,46.65,1.36
20.840588,55.39,43.05,1.74
20.904128,61.18,41.4,1.28
20.963916,64.4,41.85,0.63
21.0293,64.73,44.4,-0.31
21.09122,62.09,48.15,-1.57
21.152468,56.86,52.8,-2.8
21.216596,49.61,57.6,-3
21.27796,42,61.5,-3
21.33918,34.82,64.2,-3
21.40204,28.9,65.55,-3
21.465876,25.57,65.25,-3
21.527552,25.23,63.9,-2.83
21.589124,27.78,61.5,-1.82
21.652072,33.14,58.05,-0.6
21.713504,40.02,53.85,0.49
21.77658,47.88,49.65,1.13
21.839696,55.29,46.2,1.34
21.902404,61.03,44.4,1.26
21.96626,64.46,44.7,0.51
22.027148,64.79,46.8,-0.43
22.08948,62.15,50.25,-1.68
22.152956,56.86,54.45,-2.77
22.215236,49.73,58.35,-3
22.27728,42.12,61.5,-3
22.339872,34.71,63.45,-3
22.400912,29.05,63.75,-3
22.464952,25.57,62.7,-3
22.526804,25.21,60.6,-2.49
22.591944,28.05,57.15,-1.29
22.6537,33.24,52.8,-0.1
22.715608,40.27,48,0.78
22.780064,48.25,43.35,1.63
22.838684,55.18,40.2,1.68
22.902168,61.1,38.7,1.43
22.964688,64.4,39.45,0.72
23.027384,64.77,42.15,-0.43
23.089068,62.22,46.35,-1.61
23.155336,56.55,51.9,-2.83
23.21686,49.61,56.85,-3
23.278192,41.87,61.2,-3
23.340912,34.61,64.5,-3
23.4012,28.97,66.3,-3
23.46686,25.54,66.45,-3
23.528964,25.27,65.25,-2.97
23.59234,28.04,63,-1.91
23.652148,33.14,59.85,-0.9
23.715144,40.15,55.8,0.26
23.779108,48.13,51.45,1.07
23.840184,55.39,48,1.38
23.903396,61.1,45.9,1.2
23.967528,64.49,45.75,0.39
24.028824,64.77,47.4,-0.56
24.090332,62.09,50.25,-1.66
24.155008,56.66,53.85,-2.65
24.215824,49.73,57.15,-3
24.27872,41.87,59.7,-3
24.341176,34.5,61.05,-3
24.407024,28.6,61.05,-3
24.466208,25.54,59.7,-3
24.528012,25.23,57.6,-2.42
24.590924,27.98,54.3,-1.22
24.655756,33.45,49.95,-0.18
24.718304,40.51,45.45,0.91
24.78084,48.37,41.55,1.46
24.841556,55.5,38.85,1.55
24.902752,61.1,37.95,1.26
24.966612,64.43,39.15,0.55
25.029828,64.73,42.3,-0.54
25.09376,61.96,46.95,-1.71
25.153292,56.76,52.05,-2.97
25.217456,49.49,57.45,-3
25.277972,41.87,61.65,-3
25.34156,34.5,64.95,-3
25.403496,28.82,66.6,-3
25.46832,25.48,66.6,-3
25.529628,25.27,65.4,-3
25.590676,27.91,63.15,-2.01
25.653168,33.14,59.7,0
25.71646,40.39,55.65,0
25.793876,50.09,51.3,0
25.856644,57.06,48.45,0
25.920312,62.34,46.5,0
25.980404,64.79,45.45,0
26.046444,64.28,45.45,0
26.107168,60.88,46.2,0
26.169204,55.08,47.4,0
26.23376,47.51,49.05,0
26.296336,39.79,51.15,0
26.35586,33.04,53.55,0
26.421496,27.66,56.7,0
26.482852,25.17,60,0
26.545888,25.69,63.75,0
26.606764,29.04,67.5,0
